time,ax,ay,az,gx,gy,gz,mx,my,mz
2170.00,-0.60,6.37,-7.88,0.00,0.01,0.00,3.00,-50.00,26.00
2181.00,-0.60,6.37,-7.88,0.00,0.01,0.00,3.00,-50.00,26.00
2193.00,-0.61,6.37,-7.87,0.00,0.01,0.00,3.00,-50.00,26.00
2206.00,-0.61,6.37,-7.87,0.00,0.01,0.00,3.00,-50.00,26.00
2218.00,-0.60,6.36,-7.88,0.00,0.00,0.00,3.00,-50.00,26.00
2229.00,-0.60,6.36,-7.88,0.00,0.00,0.00,3.00,-50.00,26.00
2241.00,-0.60,6.37,-7.91,0.00,0.01,0.00,3.00,-50.00,26.00
2254.00,-0.60,6.36,-7.90,0.00,0.01,0.00,3.00,-56.00,26.00
2265.00,-0.60,6.36,-7.90,0.00,0.01,0.00,3.00,-56.00,26.00
2277.00,-0.61,6.37,-7.88,0.00,0.01,0.00,3.00,-56.00,26.00
2288.00,-0.61,6.37,-7.88,0.00,0.01,0.00,3.00,-56.00,26.00
2299.00,-0.60,6.36,-7.87,0.00,0.01,0.00,3.00,-56.00,26.00
2315.00,-0.61,6.37,-7.87,0.00,0.01,0.00,3.00,-56.00,26.00
2327.00,-0.61,6.37,-7.87,0.00,0.01,0.00,3.00,-56.00,26.00
2339.00,-0.59,6.36,-7.88,0.00,0.01,0.00,3.00,-56.00,26.00
2351.00,-0.59,6.36,-7.88,0.00,0.01,0.00,3.00,-56.00,26.00
2364.00,-0.59,6.37,-7.89,0.00,0.01,0.00,3.00,-56.00,26.00
2376.00,-0.61,6.37,-7.90,0.00,0.01,0.00,5.00,-56.00,30.00
2388.00,-0.61,6.37,-7.90,0.00,0.01,0.00,5.00,-56.00,30.00
2399.00,-0.61,6.36,-7.89,0.00,0.01,0.00,5.00,-56.00,30.00
2411.00,-0.61,6.36,-7.89,0.00,0.01,0.00,5.00,-56.00,30.00
2423.00,-0.59,6.37,-7.87,0.00,0.01,0.00,5.00,-56.00,30.00
2434.00,-0.60,6.35,-7.89,0.00,0.01,0.00,5.00,-56.00,30.00
2446.00,-0.60,6.35,-7.89,0.00,0.01,0.00,5.00,-56.00,30.00
2457.00,-0.59,6.38,-7.88,0.00,0.01,0.00,5.00,-56.00,30.00
2471.00,-0.59,6.38,-7.88,0.00,0.01,0.00,5.00,-56.00,30.00
2482.00,-0.59,6.38,-7.89,0.00,0.01,0.00,5.00,-56.00,30.00
2494.00,-0.59,6.36,-7.89,0.00,0.01,0.00,5.00,-56.00,30.00
2505.00,-0.59,6.36,-7.89,0.00,0.01,0.00,5.00,-56.00,30.00
2518.00,-0.59,6.37,-7.92,0.00,0.01,0.00,3.00,-53.00,30.00
2530.00,-0.59,6.37,-7.92,0.00,0.01,0.00,3.00,-53.00,30.00
2542.00,-0.60,6.38,-7.89,0.00,0.01,0.00,3.00,-53.00,30.00
2553.00,-0.59,6.36,-7.87,0.00,0.01,0.00,3.00,-53.00,30.00
2566.00,-0.59,6.36,-7.87,0.00,0.01,0.00,3.00,-53.00,30.00
2578.00,-0.58,6.37,-7.89,0.00,0.00,0.00,3.00,-53.00,30.00
2589.00,-0.58,6.37,-7.89,0.00,0.00,0.00,3.00,-53.00,30.00
2601.00,-0.58,6.37,-7.90,0.00,0.00,0.00,3.00,-53.00,30.00
2612.00,-0.58,6.37,-7.90,0.00,0.00,0.00,3.00,-53.00,30.00
2628.00,-0.58,6.38,-7.87,0.00,0.01,0.00,3.00,-53.00,30.00
2639.00,-0.60,6.36,-7.91,0.00,0.00,0.00,1.00,-53.00,30.00
2651.00,-0.60,6.36,-7.91,0.00,0.00,0.00,1.00,-53.00,30.00
2662.00,-0.62,6.38,-7.90,0.00,0.01,0.00,1.00,-53.00,30.00
2675.00,-0.61,6.38,-7.87,0.00,0.01,0.00,1.00,-53.00,30.00
2687.00,-0.61,6.38,-7.87,0.00,0.01,0.00,1.00,-53.00,30.00
2698.00,-0.59,6.37,-7.90,0.00,0.00,0.00,1.00,-53.00,30.00
2710.00,-0.59,6.37,-7.90,0.00,0.00,0.00,1.00,-53.00,30.00
2723.00,-0.59,6.37,-7.89,0.00,0.00,0.00,1.00,-53.00,30.00
2734.00,-0.58,6.37,-7.87,0.00,0.01,0.00,1.00,-53.00,30.00
2746.00,-0.58,6.37,-7.87,0.00,0.01,0.00,1.00,-53.00,30.00
2758.00,-0.59,6.36,-7.88,0.00,0.01,0.00,3.00,-50.00,30.00
2770.00,-0.59,6.36,-7.88,0.00,0.01,0.00,3.00,-50.00,30.00
2784.00,-0.60,6.38,-7.92,0.00,0.01,0.00,3.00,-50.00,30.00
2796.00,-0.59,6.36,-7.87,0.00,0.01,0.00,3.00,-50.00,30.00
2808.00,-0.59,6.36,-7.87,0.00,0.01,0.00,3.00,-50.00,30.00
2819.00,-0.59,6.38,-7.91,0.00,0.00,0.00,3.00,-50.00,30.00
2832.00,-0.59,6.38,-7.91,0.00,0.00,0.00,3.00,-50.00,30.00
2843.00,-0.60,6.38,-7.90,0.00,0.01,0.00,3.00,-50.00,30.00
2855.00,-0.59,6.35,-7.87,0.00,0.01,0.00,3.00,-50.00,30.00
2866.00,-0.59,6.35,-7.87,0.00,0.01,0.00,3.00,-50.00,30.00
2870.00,-0.59,6.35,-7.87,0.00,0.01,0.00,3.00,-50.00,30.00
2949.00,-0.60,6.38,-7.90,0.00,0.01,0.00,3.00,-50.00,30.00
3028.00,-0.60,6.41,-7.99,0.02,0.01,0.00,3.00,-56.00,30.00
3107.00,-0.59,6.37,-7.92,0.00,0.01,0.00,3.00,-56.00,30.00
3183.00,-0.56,6.26,-7.77,-0.00,0.01,0.00,3.00,-53.00,30.00
3271.00,-0.61,6.38,-7.93,0.00,0.01,0.00,5.00,-56.00,30.00
3283.00,-0.60,6.37,-7.89,0.00,0.00,0.00,5.00,-56.00,30.00
3294.00,-0.60,6.37,-7.89,0.00,0.00,0.00,5.00,-56.00,30.00
3305.00,-0.57,6.37,-7.88,0.00,0.01,0.00,5.00,-56.00,30.00
3318.00,-0.60,6.38,-7.91,0.00,0.01,0.00,5.00,-56.00,30.00
3329.00,-0.60,6.38,-7.91,0.00,0.01,0.00,5.00,-56.00,30.00
3340.00,-0.60,6.36,-7.87,0.00,0.01,0.00,5.00,-56.00,30.00
3352.00,-0.60,6.36,-7.87,0.00,0.01,0.00,5.00,-56.00,30.00
3364.00,-0.59,6.37,-7.91,0.00,0.01,0.00,5.00,-56.00,30.00
3376.00,-0.59,6.37,-7.85,0.00,0.01,0.00,5.00,-56.00,30.00
3387.00,-0.59,6.37,-7.85,0.00,0.01,0.00,5.00,-56.00,30.00
3399.00,-0.59,6.37,-7.93,0.00,0.01,0.00,5.00,-53.00,30.00
3410.00,-0.59,6.37,-7.93,0.00,0.01,0.00,5.00,-53.00,30.00
3423.00,-0.59,6.36,-7.87,0.00,0.00,0.00,5.00,-53.00,30.00
3434.00,-0.60,6.35,-7.89,0.00,0.01,0.00,5.00,-53.00,30.00
3446.00,-0.60,6.35,-7.89,0.00,0.01,0.00,5.00,-53.00,30.00
3458.00,-0.61,6.37,-7.90,0.00,0.01,0.00,5.00,-53.00,30.00
3470.00,-0.61,6.37,-7.90,0.00,0.01,0.00,5.00,-53.00,30.00
3481.00,-0.58,6.37,-7.88,0.00,0.01,0.00,5.00,-53.00,30.00
3493.00,-0.58,6.37,-7.88,0.00,0.01,0.00,5.00,-53.00,30.00
3504.00,-0.59,6.36,-7.88,0.00,0.01,0.00,5.00,-53.00,30.00
3517.00,-0.61,6.37,-7.92,0.00,0.01,0.00,3.00,-50.00,26.00
3529.00,-0.61,6.37,-7.92,0.00,0.01,0.00,3.00,-50.00,26.00
3540.00,-0.60,6.36,-7.88,0.00,0.01,0.00,3.00,-50.00,26.00
3554.00,-0.60,6.36,-7.88,0.00,0.01,0.00,3.00,-50.00,26.00
3565.00,-0.59,6.36,-7.87,0.00,0.01,0.00,3.00,-50.00,26.00
3578.00,-0.59,6.37,-7.89,0.00,0.00,0.00,3.00,-50.00,26.00
3589.00,-0.59,6.37,-7.89,0.00,0.00,0.00,3.00,-50.00,26.00
3601.00,-0.59,6.37,-7.88,0.00,0.00,0.00,3.00,-50.00,26.00
3613.00,-0.59,6.37,-7.88,0.00,0.00,0.00,3.00,-50.00,26.00
3625.00,-0.59,6.36,-7.88,0.00,0.00,0.00,3.00,-50.00,26.00
3637.00,-0.59,6.37,-7.92,0.00,0.01,0.00,3.00,-56.00,21.00
3648.00,-0.59,6.37,-7.92,0.00,0.01,0.00,3.00,-56.00,21.00
3659.00,-0.59,6.35,-7.88,0.00,0.00,0.00,3.00,-56.00,21.00
3672.00,-0.59,6.35,-7.88,0.00,0.00,0.00,3.00,-56.00,21.00
3684.00,-0.59,6.36,-7.89,0.00,0.01,0.00,3.00,-56.00,21.00
3695.00,-0.59,6.36,-7.89,0.00,0.01,0.00,3.00,-56.00,21.00
3707.00,-0.59,6.36,-7.89,0.00,0.01,0.00,3.00,-56.00,21.00
3718.00,-0.60,6.36,-7.87,0.00,0.01,0.00,3.00,-56.00,21.00
3731.00,-0.60,6.36,-7.87,0.00,0.01,0.00,3.00,-56.00,21.00
3743.00,-0.58,6.37,-7.89,0.00,0.01,0.00,3.00,-56.00,21.00
3754.00,-0.59,6.37,-7.92,0.00,0.01,0.00,3.00,-56.00,21.00
3766.00,-0.59,6.37,-7.92,0.00,0.01,0.00,3.00,-59.00,30.00
