time,ax,ay,az,gx,gy,gz,mx,my,mz
1673.00,-0.65,6.34,-7.87,-0.00,0.02,0.02,1.00,-16.00,-42.00
1685.00,-0.67,6.34,-7.86,-0.01,0.02,0.02,1.00,-16.00,-42.00
1696.00,-0.66,6.33,-7.89,-0.00,0.02,0.02,1.00,-16.00,-42.00
1709.00,-0.66,6.33,-7.89,-0.00,0.02,0.02,1.00,-16.00,-42.00
1720.00,-0.65,6.34,-7.89,-0.01,0.02,0.02,0.00,-20.00,-37.00
1731.00,-0.65,6.34,-7.89,-0.01,0.02,0.02,0.00,-20.00,-37.00
1743.00,-0.65,6.33,-7.90,-0.00,0.02,0.02,0.00,-20.00,-37.00
1756.00,-0.67,6.33,-7.90,-0.00,0.02,0.02,0.00,-20.00,-37.00
1768.00,-0.67,6.33,-7.90,-0.00,0.02,0.02,0.00,-20.00,-37.00
1780.00,-0.65,6.32,-7.89,-0.00,0.02,0.02,0.00,-20.00,-37.00
1791.00,-0.65,6.32,-7.89,-0.00,0.02,0.02,0.00,-20.00,-37.00
1804.00,-0.64,6.26,-7.81,-0.01,0.02,0.02,0.00,-20.00,-37.00
1815.00,-0.64,6.26,-7.81,-0.01,0.02,0.02,0.00,-20.00,-37.00
1826.00,-0.66,6.40,-7.99,0.00,0.02,0.02,0.00,-20.00,-37.00
1838.00,-0.62,6.33,-7.89,-0.01,0.02,0.02,0.00,-18.00,-37.00
1851.00,-0.62,6.33,-7.89,-0.01,0.02,0.02,0.00,-18.00,-37.00
1862.00,-0.64,6.30,-7.88,-0.00,0.02,0.02,0.00,-18.00,-37.00
1874.00,-0.64,6.30,-7.88,-0.00,0.02,0.02,0.00,-18.00,-37.00
1886.00,-0.66,6.30,-7.90,-0.00,0.02,0.02,0.00,-18.00,-37.00
1898.00,-0.64,6.32,-7.92,-0.00,0.02,0.02,0.00,-18.00,-37.00
1911.00,-0.64,6.32,-7.92,-0.00,0.02,0.02,0.00,-18.00,-37.00
1922.00,-0.64,6.32,-7.91,-0.01,0.02,0.02,0.00,-18.00,-37.00
1934.00,-0.64,6.32,-7.91,-0.01,0.02,0.02,0.00,-18.00,-37.00
1945.00,-0.64,6.33,-7.91,-0.01,0.02,0.02,0.00,-18.00,-37.00
1958.00,-0.65,6.34,-7.93,-0.00,0.02,0.02,0.00,-18.00,-42.00
1970.00,-0.65,6.34,-7.93,-0.00,0.02,0.02,0.00,-18.00,-42.00
1981.00,-0.65,6.30,-7.91,-0.01,0.02,0.02,0.00,-18.00,-42.00
1993.00,-0.65,6.30,-7.91,-0.01,0.02,0.02,0.00,-18.00,-42.00
2006.00,-0.65,6.33,-7.92,-0.01,0.02,0.02,0.00,-18.00,-42.00
2017.00,-0.65,6.34,-7.90,-0.01,0.02,0.02,0.00,-18.00,-42.00
2029.00,-0.65,6.34,-7.90,-0.01,0.02,0.02,0.00,-18.00,-42.00
2040.00,-0.65,6.33,-7.88,-0.01,0.02,0.02,0.00,-18.00,-42.00
2053.00,-0.65,6.33,-7.88,-0.01,0.02,0.02,0.00,-18.00,-42.00
2065.00,-0.64,6.33,-7.87,-0.01,0.02,0.02,0.00,-18.00,-42.00
2077.00,-0.66,6.32,-7.89,-0.01,0.02,0.02,0.00,-18.00,-37.00
2089.00,-0.66,6.32,-7.89,-0.01,0.02,0.02,0.00,-18.00,-37.00
2102.00,-0.65,6.32,-7.93,-0.01,0.02,0.02,0.00,-18.00,-37.00
2114.00,-0.65,6.32,-7.93,-0.01,0.02,0.02,0.00,-18.00,-37.00
2126.00,-0.64,6.31,-7.89,-0.01,0.02,0.02,0.00,-18.00,-37.00
2137.00,-0.64,6.33,-7.88,-0.01,0.02,0.02,0.00,-18.00,-37.00
2149.00,-0.64,6.33,-7.88,-0.01,0.02,0.02,0.00,-18.00,-37.00
2162.00,-0.64,6.33,-7.89,-0.01,0.02,0.02,0.00,-18.00,-37.00
2174.00,-0.64,6.33,-7.89,-0.01,0.02,0.02,0.00,-18.00,-37.00
2185.00,-0.65,6.32,-7.87,-0.00,0.02,0.02,0.00,-18.00,-37.00
2196.00,-0.65,6.31,-7.90,-0.01,0.02,0.02,0.00,-18.00,-37.00
2209.00,-0.65,6.31,-7.90,-0.01,0.02,0.02,0.00,-18.00,-37.00
2221.00,-0.65,6.32,-7.91,-0.01,0.02,0.02,0.00,-22.00,-39.00
2233.00,-0.65,6.32,-7.91,-0.01,0.02,0.02,0.00,-22.00,-39.00
2245.00,-0.64,6.33,-7.90,-0.01,0.02,0.02,0.00,-22.00,-39.00
2258.00,-0.66,6.34,-7.87,-0.01,0.02,0.02,0.00,-22.00,-39.00
2269.00,-0.66,6.34,-7.87,-0.01,0.02,0.02,0.00,-22.00,-39.00
2281.00,-0.65,6.33,-7.89,-0.01,0.02,0.02,0.00,-22.00,-39.00
2293.00,-0.65,6.33,-7.89,-0.01,0.02,0.02,0.00,-22.00,-39.00
2306.00,-0.65,6.31,-7.87,-0.01,0.02,0.02,0.00,-22.00,-39.00
2317.00,-0.66,6.32,-7.90,-0.01,0.02,0.02,0.00,-22.00,-39.00
